name,address,telephone,email,productsServices
ANDHRA FITNESS OUTLET,"SHOP NO. B1, PAVAN ENCLAV,DABAGARDENS, OPP HDFC BANK,  VISAKHAPATNAM,  ANDHRA PRADESH 530020",#N/A,#N/A,3 MULTIBRAND STORE
ANDHRA SPORTS,"MAIN ROAD, DABA GARDEN,  VISAKHAPATNAM,  ANDHRA PRADESH 530020",#N/A,'andhrasports@gmail.com',3 MULTIBRAND STORE
ANJUMAN CYCLE SERVICE,"DANDIYA BAZAAR,KURSI ROAD,  LUCKNOW,  UTTAR PRADESH 226022",9452461300,#N/A,3 MULTIBRAND STORE
ANKIT ENTERPRISES ,"SHOP NO -3 , KRISHNA NAGAE,KRISHNA NAGAR ROAD,  MATHURA ,  UTTAR PRADESH  281501",,ankit_gupta970@yahoo.com,1 TRACK AND TRAIL
ANMOL TRADERS,"SRI GURU GOVIND SINGH JI MARG,  GONDA,  UTTAR PRADESH 271001",9415120531,#N/A,3 MULTIBRAND STORE
ANTRA SALES,"SHREE RAM PALACE,STATION ROAD,  PATNA,  BIHAR 800001",0612 2218150,antrasales@gmail.com,1 TRACK AND TRAIL
ANUP CHAND CHAMMAN LAL,"JAGADHRI ROAD,  YAMUNANAGAR,  HARYANA 135101",9315608549,anupchandchamanlal@gmail.com,3 MULTIBRAND STORE
ANURAG CYCLE PVT.LTD,"E-71,  SECTOR 9,  NOIDA,  UTTAR PRADESH 201301",9818818078,anuragsood80@gmail.com,3 MULTIBRAND STORE
APAR CYCLE STORE,"DILAWAR GANJ,  SHAHJAHANPUR,  UTTAR PRADESH 242001",9935414358,ranuraunak3@gmail.com,3 MULTIBRAND STORE
ARAR ASSOCIATES,"782 A RSR COMPLEX,SALEM MAIN ROAD,  NAMAKKAL,  TAMILNADU 637001",,arar.assoc@gmail.com,1 TRACK AND TRAIL
ARAVALI ENTERPRISES,"M P ROAD,  DIMAPUR,  NAGALAND 797112",9862091018,aravalidmr@gmail.com,3 MULTIBRAND STORE
ARMY  CYCLE  STORE,"SHAJAHANPUR ROAD,DIST : BAREILLY,  NAKATIA,  UTTAR PRADESH 243123",9719399111,armycycle999@gmail.com,3 MULTIBRAND STORE
ARORA CYCLE STORE,"5 P / 30 -  N.I.T.,FARIDABAD,  FARIDABAD,  HARYANA 101001",9871031100,manojarora196713@gmail.com,3 MULTIBRAND STORE
ARUN CYCLE MART,"17-A SOUTH CAR STREET,  CHIDAMBARAM,  TAMILNADU 608001",9786244245,#N/A,3 MULTIBRAND STORE
ARUN CYCLE STORES,"MAIN ROAD, IN FRONT OF SHYAM TALKIES,  BALAGHAT,  MADHYA PRADESH ",9009330242,#N/A,3 MULTIBRAND STORE
ARUN SPORTS ENTERPRISE,"JAIL ROAD,  SHILLONG,  MEGHALAYA 793001",8794728465,'ashokbiswas56@rocketmail.com',3 MULTIBRAND STORE
ARUN TRADING COMPANY,"SUEVEY NO.2,YERWADA PUNE,  POONA,  MAHARASHTRA 411006",9763201214,prsdgaikwad11@gmail.com,3 MULTIBRAND STORE
ARUNA CYCLE MART,"7, V R M ROAD,VIJAYAPURAM,  TIRUVARUR,  TAMILNADU ",9965775082,arunacyclemart43827@gmail.com,3 MULTIBRAND STORE
ARUNA CYCLE MART,"216 RAILWAY  FEEDER ROAD,  SATTUR,  TAMILNADU 626203",9500231018,yuvaraj3018@gmail.com,3 MULTIBRAND STORE
ASC CUSTOMERS,"TI CYCLES OF INDIA,MTH ROAD,AMBATTUR,  CHENNAI,  TAMILNADU 600053",#N/A,#N/A,3 MULTIBRAND STORE
ASHA CYCLE STORES,"BRAHMIN STREET,  BELLARY,  KARNATAKA 583101",9886285632,ashacycles@gmail.com,3 MULTIBRAND STORE
ASHIK ALI AND COMPANY,"ASHIK ALI BUILDING,24-A/11 AMMAN SANNATHI,  TENKASI,  TAMILNADU 627811",9361010020,u4umarfroda@gmail.com,3 MULTIBRAND STORE
ASHIRWAD CYCLE STORES,"IN FRONT OF BALAJI TEMPLE,MAIN ROAD,CHIMOOR,DIST CHANDRAPUR  CHANDRAPUR,  MAHARASHTRA 442903",9423418272,#N/A,3 MULTIBRAND STORE
ASHIS CYCLE STORES,"NEW BUS STAND (HIGH ROAD),RAMPURHAT,DIST.BIRBHUM,  BIRBHUM,  WEST BENGAL 731224",9434002731,ashisbirbhum@gmail.com,3 MULTIBRAND STORE
ASHOK CYCLE STORE(LUCKNOW),"D 1379 / 2, NEAR KALEVA SHOP,MAIN RING ROAD,INDIRA NAGAR  LUCKNOW,  UTTAR PRADESH 226001",,ashokcycle1379@gmail.com,1 TRACK AND TRAIL
ASHOK RICKSHAW WORKS,"REWANCHAL BUS STAND,NEAR GOL PARK BUS STAND,  REWA,  MADHYA PRADESH 486001",9424669064,cool.nitin1988@yahoo.com,3 MULTIBRAND STORE
ASHOKA &amp; ASHOKA COMPANY,"35 - 9/A-4, RAMPUR GARDEN,BEHIND CHURCH,  BAREILLY,  UTTAR PRADESH 243001",9411915888,ashokacyclecompany@gmail.com,3 MULTIBRAND STORE
ASIAS FITNESS,"ANAND TALKIES COMPOUND,4TH BRIDGE ROAD,INFRONT OF MAHARISHI SCHOOL  JABALPUR,  MADHYA PRADESH 482001",,amitbhasin1000@gmail.com,1 TRACK AND TRAIL
ASLAM CYCLE STORES,"ZAPABAR MAIN ROAD,NANI DAMAN,  DAMAN,  GUJARAT 396210",9824171143,aslamcyclestores@gmail.com,3 MULTIBRAND STORE
ASSOCIATED INDO VIETNAM ENTERPRISES,"143, JAWAHARLAL NEHRU STREET,  PONDICHERRY,  PONDICHERRY 605001",9443214975,indovietnament@yaho.com   ,3 MULTIBRAND STORE
ASWATHY INTERNATIONAL,"BUILDING NO:- AMC 238 /KALAR CODE,NEAR ANJALI AUDITORIUM,  ALAPPUZHA ,  KERALA 688003",0477 2267868,murukeshkannan@gmail.com,1 TRACK AND TRAIL
ASWATHY INTERNATIONAL(BSA GO),"PUTHIYACAVU,  MAVELIKARA,  KERALA 690101",0479 2132310,murukeshkannan@gmail.com,1 TRACK AND TRAIL
ASWATHY INTERNATIONAL(FITNESS),"MMC - 210, PUTHIYAKAVU,  MAVELI KARA,  KERALA 690101",9495210437,murukeshkannan@gmail.com,3 MULTIBRAND STORE
ATHARVA ENTERPRISES,"SHRI SAI ANAND DEVELOPERS,GEETA NAGAR, CITY SURVEY NO.9996,BEHIND CHIRANTAN HOSPITAL,NEAR JAI HIND SR.COLLEGE, DEOPUR  DHULE,  MAHARASHTRA 424002",,atharvaenterprises.dhule@gmail.com,1 TRACK AND TRAIL
AVINASH CYCLE COMPANY,"47 / 1 & 2, KAMMANNAHALLI MAIN ROAD,R S PALAYA,M S NAGAR  BANGALORE,  KARNATAKA 560033",080 41733086,jabamalai1955@gmail.com,1 TRACK AND TRAIL
AVINASH CYCLE STORES(GURDASPUR),"G.T.ROAD MANDI,DIST : GURDASPUR,  GURDASPUR,  PUNJAB 143521",9988844779,Avinashchandra786@gmail.com,3 MULTIBRAND STORE
AWASTHI BROTHERS,"SHRI HANUMAN CHOWK,SATNA,   MADHYA PRADESH 485001",9425174350,priyanka.awasthi22@gmail.com,3 MULTIBRAND STORE
AYYANNAR CYCLES,"8/A, KATCHERI ROAD,  VIRUDHUNAGAR,  TAMILNADU 626001",9894171317,#N/A,3 MULTIBRAND STORE
AZAD CYCLE STORES (VERAVAL),"SATTA BAZAAR,  VERAVAL,  GUJARAT 362265",9428704509,#N/A,3 MULTIBRAND STORE
AZIL CYCLE TRADERS,"10 / 342  ,A2 ,  P M THAJ ROAD,  CALICUT,  KERALA 673003",9895252043,azilcy@gmail.com,3 MULTIBRAND STORE
B M V CYCLE MART,"160 GANDHI ROAD,  ARANI,  TAMILNADU 632501",9942363591,bmvcyclemart@gmail.com,3 MULTIBRAND STORE
B P M  CYCLE AGENCY(AMRELI),"LILIYA ROAD,(STATION ROAD),  AMRELI,  GUJARAT 365601",9825547350,microlinkahd@gmail.com,3 MULTIBRAND STORE
B. S. ENTERPRISES,"S.R. 8   -  NURSERY CIIRCLE,VAISHALI NAGAR,  JAIPUR,  RAJASTHAN 302021",9314115435,sanjaybinaykiya@gmail.com,3 MULTIBRAND STORE
B.L. PATOA &amp; CO.,"CENTRAL ROAD,  SILCHAR,  ASSAM 788001",9435074272,Riteshpatoa@gmail.com,3 MULTIBRAND STORE
B.S.KAKKAR &amp; BROS,"CYCLE DEALERS,  BANDA,  UTTAR PRADESH 210001",9415170155,snjvkakkar@gmail.com,3 MULTIBRAND STORE
BABA CYCLE STORE,"MAIN BUS STAND,MANESAR,DIST. GURGAON,  MANESAR,  HARYANA 122052",8802479777,babacyclestore@gmail.com,3 MULTIBRAND STORE
BABBAR CYCLE COMPANY,"JAIN ATITHI BHAWAN,  BARAUT,  UTTAR PRADESH 250611",9837419638,sbasbaraut@gmail.com,3 MULTIBRAND STORE
BABU CYCLE EMPORIUM,"4-A,  GANDHI ROAD,  KALLAKURICHI,  TAMILNADU 606202",9443258246,babucycleemporium@gmail.com,3 MULTIBRAND STORE
BABU CYCLES,"14 C S I SHOPPING COMPLEX,KAMARAJANAR ROAD,  ATTUR,  TAMILNADU 636102",9443915665,babucycles@yaho.com,3 MULTIBRAND STORE
BABU LAL ARUNKUMAR JAIN,"SHAHI ROAD,  LALITPUR,  UTTAR PRADESH 284403",9415508263,#N/A,3 MULTIBRAND STORE
BADAMIYA BROTHERS,"MAIN ROAD,  BARSI,  MAHARASHTRA 413401",9028422996,manojrathod9@gmail.com,3 MULTIBRAND STORE
BADGUJAR AND SONS,"AGRA ROAD,  DHULIA,  MAHARASHTRA 424001",9422786153,nitinbadgujar168@gmail.com,3 MULTIBRAND STORE
BAHETI ENTERPRISES,"SHOP NO 3105, NISARG HERITAGE,OPP SBI BANK,OLD INCOME TAX SQUARE,GORAKSHAN ROAD  AKOLA,  MAHARASHTRA ",#N/A,nilesh@bahetibros.com,3 MULTIBRAND STORE
BAJAJ ENTERPRISE,"IN FRONT OF TOLIYA SAR BHEROJI TEMPLE,ALAKHSAGAR ROAD,  BIKANER,  RAJASTHAN 334001",9214442172,sudhirbajaj12sep@gmail.com,3 MULTIBRAND STORE
BAJRANG ENTERPRISES,"KANPUR ROAD,DIST : FARRUKHABAD,  FATEHGARH,  UTTAR PRADESH 209601",7565912517,#N/A,3 MULTIBRAND STORE
BAKIRI CYCLE SERVICE,"6, BISTHAN ROAD,  KHARGONE,  MADHYA PRADESH ",9753334548,bakiricycles@gmail.com,3 MULTIBRAND STORE
BALAJI AGENCIES,"65 B BHARATIDASAN SALAI,  RASIPURAM,  TAMILNADU 637408",9843022856,#N/A,3 MULTIBRAND STORE
BALAJI CYCLE (SURAT),"1, ROYAL ARCADE,OPP SARTHANA NATURE PARK,PARAMSUKH GURUKUL ROAD,  SURAT,  GUJARAT 395008",7383604212,BALAJI CYCLE <balajicycle@yahoo.com>,3 MULTIBRAND STORE
BALAJI CYCLE WORLD  (-Saidapet),"77 JONES ROAD, SAIDAPET,  CHENNAI,  TAMILNADU 600015",9940457777,balajicyclestore@gmail.com,3 MULTIBRAND STORE
BALAJI RETAIL,"MANGLABAG,  CUTTACK,  ODISHA 753001",,alok5206@gmail.com,1 TRACK AND TRAIL
BALAJI SPORTS &amp; FITNESS CYCLES,"5232, SANTRO ENCLAVE INDUSTRIAL AREA,  HISSAR,  HARYANA 125006",,shashikumarbloda@gmail.com,1 TRACK AND TRAIL
BALAJI SPORTS &amp; FITNESS CYCLES ,"SCO BULIDING , SHOP NO 11, ,COURT ROAD,NEAR CITY CENTER  BHIWANI ,  HARYANA 127021",,deepakkothari289@gmail.com,1 TRACK AND TRAIL
BALAJI SPORTS AND FITNESS BIKES,"4465/5, RAJBAHA ROAD,OPP- HEAD POST OFFICE,ADJOINING HOTEL MOHAN CONTINENTAL   PATIALA  ,  PUNJAB  147001",,akm7815@gmail.com,1 TRACK AND TRAIL
BALAJI STORES,"25, GANDHI ROAD-3,ARAKKONAM,  ARAKKONAM,  TAMILNADU 631001",#N/A,#N/A,3 MULTIBRAND STORE
BALAJI TRADERS,"SHOP NO. 4 &#44; SUSHIL TOWER&#44;NO.1 CURZON ROAD&#44;  DEHRADUN,  UTTARAKHAND 248001",9997266405,alpi0712@gmail.com,1 TRACK AND TRAIL
BALAKRISHNA CYCLE MART,"NEW BAZAAR,  KOZIKODE,  KERALA 673002",9388440117,balakrishnacyclemart123@yahoo.in,3 MULTIBRAND STORE
BAMA CYCLES,"161 NORTH CAR STREET,  SIVAKASI,  TAMILNADU 626123",#N/A,#N/A,3 MULTIBRAND STORE
BANSAL CYCLE CENTRE,"RANCHI PATNA ROAD,  JHUMRITILAIYA,  JHARKHAND 825409",9431314288,rishimaa9@gmail.com,3 MULTIBRAND STORE
BANWARI LAL &amp; SONS (CYCLE DIVN),"85 STAFF ROAD,  AMBALA,  HARYANA 133001",9255110370,banwarilalcyclediv@yahoo.com,3 MULTIBRAND STORE
BASANT STORES,"JAMCHANGANJI,  MANDLA,  MADHYA PRADESH 481661",9425165112,basant.mandla@yahoo.in,3 MULTIBRAND STORE
BASANT&#39;S,"NEAR MRIGNAYANI EMPORIUM, KASERAOLI,SARAFA BAZAR,LAKSHAR  GWALIOR,  MADHYA PRADESH 474001",0751 2451195,gwl.basant@gmail.com,1 TRACK AND TRAIL
BASHA CYCLE MART,"D. NO. 18-1C, GNT ROAD,SULLURUPET,NELLORE DT,  SULLURUPET,  ANDHRA PRADESH ",9440087392,bashacyclemart9@gmail.com,3 MULTIBRAND STORE
BAWA SALES CORPORATION,"PRATAP MARKET,  SAHARANPUR,  UTTAR PRADESH 247001",8057251600,sharma.anesh@rediffmail.com,3 MULTIBRAND STORE
BEENA CYCLE EMPORIUM,"M.O. WARD,  ALLEPPEY,  KERALA 688001",9846738650,beenacycles@gmail.com,3 MULTIBRAND STORE
BELU CYCLE STORES,"STATION ROAD,  KARIMGANJ,  ASSAM 788710",9435075293,apurba.dey2009@gmail.com,3 MULTIBRAND STORE
BENARAS CYCLE STORES,"K- 61/145-147,BULANALA,  VARANASI,  UTTAR PRADESH 221001",0542 2414533,camanojnigam@gmail.com,1 TRACK AND TRAIL
BERA DISTRIBUTORS (P) LTD,"RAILWAY PLOT NO-212, GOLBAZAR,P.O. KHARAGPUR,DIST- PASCHIM MEDINIPUR   KHARAGPUR,  WEST BENGAL 721301",,sukumar@beracycle.com,1 TRACK AND TRAIL
BERA DISTRIBUTORS PVT LTD,"NATUN BAZAR,OPP TOWN GIRLS SCHOOL,PASCHIM MIDNAPUR,  MIDNAPUR,  WEST BENGAL 721101",,sukumar@beracycle.com,1 TRACK AND TRAIL
BERHAMPUR CYCLES,"HANUMAN BAZAR,BERHAMPUR,  BERHAMPUR,  ODHISA 760002",#N/A,#N/A,3 MULTIBRAND STORE
BERIA TRADING CO.,"STATION ROAD,  SIKAR,  RAJASTHAN 332001",9352810116,anilberia@yahoo.co.in,3 MULTIBRAND STORE
BHAGWAN DASS CYCLE STORES,"MOTIJHEEL,  MUZAFFARPUR,  BIHAR 842001",9430218039,kumar.nitinmuz@gmail.com,3 MULTIBRAND STORE
BHAGWANTI CYCLE TRADERS **,"382 STATION ROAD,  ULHASNAGAR,  MAHARASHTRA 421003",9323928996,#N/A,3 MULTIBRAND STORE
BHAGYA LAKSHMI CYCLE SPARES &amp;AUTOMOBILES,"18-1-680, BHAVANI NAGAR,  TIRUPATI,  ANDHRA PRADESH 517501",9849490261,bhagyalakshmicycles@gmail.com,3 MULTIBRAND STORE
